pl_name,hostname,default_flag,discoverymethod,disc_year,soltype,pl_orbper,pl_rade,sy_refname,rastr,ra,decstr,dec,sy_dist
TOI-198 b,TOI-198,1,Transit,2023,Published Confirmed,10.21520000,1.440,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h09m05.16s,2.2715087,-27d07m18.28s,-27.1217452,23.7262000
TOI-199 b,TOI-199,1,Transit,2023,Published Confirmed,104.85400000,9.079,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h20m25.41s,80.1058735,-59d53m43.56s,-59.8954326,102.2700000
TOI-1994 b,TOI-1994,1,Transit,2024,Published Confirmed,4.03371420,13.675,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h48m41.90s,147.1745753,-51d45m23.63s,-51.7565640,515.6030000
TOI-2000 b,TOI-2000,1,Transit,2023,Published Confirmed,3.09833000,2.700,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h45m35.30s,146.3970631,-66d41m11.87s,-66.6866307,175.7130000
TOI-2000 c,TOI-2000,1,Transit,2023,Published Confirmed,9.12705500,8.140,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h45m35.30s,146.3970631,-66d41m11.87s,-66.6866307,175.7130000
TOI-201 b,TOI-201,1,Transit,2021,Published Confirmed,52.97818000,11.299,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h49m36.43s,87.4017825,-54d54m37.52s,-54.9104230,113.8250000
TOI-2010 b,TOI-2010,1,Transit,2023,Published Confirmed,141.83402500,11.814,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m40.07s,292.1669417,+53d29m14.53s,53.4873694,109.1900000
TOI-2015 b,TOI-2015,1,Transit,2023,Published Confirmed,3.34896800,3.390,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h28m31.84s,232.1326528,+27d21m39.86s,27.3610730,47.3444000
TOI-2018 b,TOI-2018,1,Transit,2023,Published Confirmed,7.43558300,2.268,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h19m20.99s,229.8374423,+29d12m28.36s,29.2078771,27.9956000
TOI-2019 b,TOI-2019,1,Transit,2024,Published Confirmed,15.34440000,5.333,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h37m43.62s,234.4317651,+48d57m18.74s,48.9552060,198.0070000
TOI-2025 b,TOI-2025,1,Transit,2022,Published Confirmed,8.87209820,11.893,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h51m10.86s,282.7952558,+82d14m43.49s,82.2454143,335.9850000
TOI-2046 b,TOI-2046,1,Transit,2022,Published Confirmed,1.49718420,16.141,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h04m44.39s,16.1849423,+74d19m52.70s,74.3313055,289.6680000
TOI-2048 b,TOI-2048,1,Transit,2022,Published Confirmed,13.79019000,2.610,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h51m41.79s,237.9241066,+52d18m22.71s,52.3063083,116.5670000
TOI-206 b,TOI-206,1,Transit,2022,Published Confirmed,0.73631040,1.300,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h54m57.17s,73.7382202,-62d31m18.75s,-62.5218740,47.7465000
TOI-2068 b,TOI-2068,1,Transit,2024,Published Confirmed,7.76891500,1.821,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h25m05.65s,186.2735600,+60d25m06.04s,60.4183455,52.9328000
TOI-2076 b,TOI-2076,1,Transit,2021,Published Confirmed,10.35509600,2.771,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m34.08s,217.3920159,+39d47m25.44s,39.7903991,41.9091000
TOI-2076 d,TOI-2076,1,Transit,2021,Published Confirmed,35.12568600,3.431,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m34.08s,217.3920159,+39d47m25.44s,39.7903991,41.9091000
TOI-2076 c,TOI-2076,1,Transit,2021,Published Confirmed,21.01532700,3.694,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h29m34.08s,217.3920159,+39d47m25.44s,39.7903991,41.9091000
TOI-2081 b,TOI-2081,1,Transit,2022,Published Confirmed,10.50534000,2.040,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h37m12.54s,264.3022634,+53d01m32.04s,53.0255666,62.3446000
TOI-2084 b,TOI-2084,1,Transit,2023,Published Confirmed,6.07842470,2.470,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h17m01.09s,259.2545389,+72d44m49.28s,72.7470231,114.5490000
TOI-2088 b,TOI-2088,1,Transit,2024,Published Confirmed,124.72997000,3.683,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h25m29.97s,261.3748943,+75d52m56.21s,75.8822796,126.4600000
